,Unnamed: 0,title,all_tags,type
0,0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",fantasy young-adult fiction magic childrens adventure children-s classics novels middle-grade paranormal teen witches urban-fantasy supernatural mystery wizards juvenile romance contemporary coming-of-age science-fiction-fantasy j.k.rowling marygrandpré,book
1,1,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",fantasy young-adult fiction magic children-s novels paranormal teen witches urban-fantasy supernatural mystery wizards juvenile romance coming-of-age science-fiction-fantasy boarding-school action british-literature young-adult-fantasy j.k.rowling marygrandpré,book
2,2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",fantasy young-adult fiction magic childrens adventure children-s classics novels middle-grade paranormal teen witches urban-fantasy supernatural mystery wizards juvenile contemporary science-fiction-fantasy j.k.rowling marygrandpré,book
3,3,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",fantasy young-adult fiction magic childrens adventure children-s classics novels middle-grade paranormal teen witches urban-fantasy supernatural mystery wizards juvenile contemporary science-fiction-fantasy time-travel werewolves j.k.rowling marygrandpré rufusbeck,book
4,4,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",fantasy young-adult fiction childrens adventure children-s classics novels middle-grade paranormal teen witches urban-fantasy supernatural mystery wizards juvenile contemporary coming-of-age science-fiction-fantasy dragons j.k.rowling marygrandpré,book
5,5,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",fantasy young-adult fiction magic childrens adventure children-s classics novels middle-grade paranormal teen witches urban-fantasy supernatural mystery wizards contemporary science-fiction-fantasy action young-adult-fantasy dragons love humor epic-fantasy thriller science-fiction funny high-fantasy j.k.rowling marygrandpré,book
6,6,"Harry Potter Collection (Harry Potter, #1-6)",fantasy young-adult fiction magic childrens adventure children-s classics novels paranormal teen witches urban-fantasy mystery wizards juvenile contemporary dragons love epic-fantasy j.k.rowling,book
7,7,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",fantasy young-adult fiction adventure classics novels contemporary science-fiction-fantasy british-literature humor science-fiction funny comedy adult space adult-fiction aliens literature science speculative-fiction 20th-century abandoned ebooks modern-classics unfinished douglasadams,book
8,8,The Ultimate Hitchhiker's Guide to the Galaxy,fantasy young-adult fiction adventure classics novels contemporary science-fiction-fantasy time-travel humor science-fiction funny comedy adult space adult-fiction aliens literature science speculative-fiction 20th-century abandoned ebooks unfinished space-opera collections philosophy douglasadams,book
9,9,A Short History of Nearly Everything,fiction humor funny adult space science abandoned ebooks unfinished philosophy history non-fiction popular-science physics historical reference biology travel nature astronomy evolution natural-history history-of-science essays anthropology science-nature geology world-history education american 21st-century chemistry billbryson,book
10,10,In a Sunburned Country,fiction adventure contemporary humor funny comedy adult abandoned ebooks unfinished history non-fiction travel nature essays australia memoir biography travelogue biography-memoir animals autobiography geography billbryson,book
11,11,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,fiction adventure contemporary humor funny comedy adult science 20th-century abandoned ebooks unfinished history non-fiction travel essays memoir biography travelogue biography-memoir autobiography short-stories social united-states writing americana billbryson,book
12,12,The Lost Continent: Travels in Small Town America,fiction adventure contemporary humor funny comedy adult 20th-century abandoned ebooks unfinished history non-fiction travel essays american memoir biography travelogue biography-memoir autobiography united-states writing americana road-trip journalism billbryson,book
13,13,Neither Here nor There: Travels in Europe,fiction adventure contemporary humor funny comedy adult 20th-century abandoned ebooks history non-fiction travel essays american memoir biography travelogue biography-memoir autobiography geography france belgium germany billbryson,book
14,14,Notes from a Small Island,fiction adventure contemporary humor funny comedy adult 20th-century abandoned ebooks unfinished history non-fiction travel essays american memoir biography travelogue biography-memoir autobiography geography writing billbryson,book
15,15,The Mother Tongue: English and How It Got That Way,contemporary humor funny comedy adult literature 20th-century abandoned ebooks unfinished history non-fiction historical reference anthropology education writing language linguistics words social-science cultural-studies books-about-books sociology microhistory billbryson,book
