,Unnamed: 0,title,all_tags,type
0,0,Avatar,culture clash future space war space colony society Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez Action Adventure Fantasy Science Fiction James Cameron,movie
1,1,Pirates of the Caribbean: At World's End,ocean drug abuse exotic island east india trading company love of one's life Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat Adventure Fantasy Action Gore Verbinski,movie
2,2,Spectre,spy based on novel secret agent sequel mi6 Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci Action Adventure Crime Sam Mendes,movie
3,3,The Dark Knight Rises,dc comics crime fighter terrorist secret identity burglar Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy Action Crime Drama Thriller Christopher Nolan,movie
4,4,John Carter,based on novel mars medallion space travel princess Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church Action Adventure Science Fiction Andrew Stanton,movie
5,5,Spider-Man 3,dual identity amnesia sandstorm love of one's life forgiveness Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace Fantasy Action Adventure Sam Raimi,movie
6,6,Tangled,hostage magic horse fairy tale musical Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey Animation Family Byron Howard,movie
7,7,Avengers: Age of Ultron,marvel comic sequel superhero based on comic book vision Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson Action Adventure Science Fiction Joss Whedon,movie
8,8,Harry Potter and the Half-Blood Prince,witch magic broom school of witchcraft wizardry Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon Adventure Fantasy Family David Yates,movie
9,9,Batman v Superman: Dawn of Justice,dc comics vigilante superhero based on comic book revenge Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg Action Adventure Fantasy Zack Snyder,movie
10,10,Superman Returns,saving the world dc comics invulnerability sequel superhero Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey Adventure Fantasy Action Science Fiction Bryan Singer,movie
11,11,Quantum of Solace,killing undercover secret agent british secret service Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini Adventure Action Thriller Crime Marc Forster,movie
12,12,Pirates of the Caribbean: Dead Man's Chest,witch fortune teller bondage exotic island monster Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy Adventure Fantasy Action Gore Verbinski,movie
13,13,The Lone Ranger,texas horse survivor texas ranger partner Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale Action Adventure Western Gore Verbinski,movie
14,14,Man of Steel,saving the world dc comics superhero based on comic book superhuman Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane Action Adventure Fantasy Science Fiction Zack Snyder,movie
15,15,The Chronicles of Narnia: Prince Caspian,based on novel fictional place brother sister relationship lion human being Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley Adventure Family Fantasy Andrew Adamson,movie
16,16,The Avengers,new york shield marvel comic superhero based on comic book Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson Science Fiction Action Adventure Joss Whedon,movie
17,17,Pirates of the Caribbean: On Stranger Tides,sea captain mutiny sword prime minister Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush Adventure Action Fantasy Rob Marshall,movie
18,18,Men in Black 3,time travel time machine alien fictional government agency seeing the future Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson Action Comedy Science Fiction Barry Sonnenfeld,movie
19,19,The Hobbit: The Battle of the Five Armies,corruption elves dwarves orcs middle-earth (tolkien) Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish Action Adventure Fantasy Peter Jackson,movie
20,20,The Amazing Spider-Man,loss of father vigilante serum marvel comic scientific experiment Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott Action Adventure Fantasy Marc Webb,movie
21,21,Robin Hood,robin hood archer knight sherwood forest bow and arrow Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong Action Adventure Ridley Scott,movie
22,22,The Hobbit: The Desolation of Smaug,elves dwarves orcs hobbit dragon Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish Adventure Fantasy Peter Jackson,movie
23,23,The Golden Compass,england compass experiment lordship uncle Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green Adventure Fantasy Chris Weitz,movie
24,24,King Kong,film business screenplay show business film making film producer Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks Adventure Drama Action Peter Jackson,movie
